sample_size,true_param,estimated_param,ci_lower,ci_upper
25,0.125,0.1332967202634996,0.0677545239941703,0.19883891653282887
25,0.125,0.2753180455476043,0.2027047482420814,0.3479313428531272
25,0.125,0.3890382234711884,0.3043380084194641,0.47373843852291264
25,0.125,0.2693628458183349,0.19213643365392777,0.34658925798274204
25,0.125,0.15163295919324765,0.08512754810876239,0.21813837027773292
25,0.125,0.14677237660683648,0.08116939598661191,0.21237535722706102
25,0.125,0.05274230372735869,-0.007184874179701858,0.11266948163441923
25,0.125,0.14889649362804258,0.08158263169657758,0.21621035555950757
25,0.125,0.05,-0.34199279690801093,0.4419927969080108
25,0.125,0.17190995244974266,0.10474897957388972,0.2390709253255956
25,0.125,0.3205809991378547,0.24181597874217695,0.39934601953353244
25,0.125,0.3088445652147138,0.22509427924169878,0.39259485118772885
25,0.125,0.1538813242198659,0.08860337970757681,0.21915926873215497
25,0.125,0.05,-0.34199279690801093,0.4419927969080108
25,0.125,0.2610970371319153,0.18963536846622325,0.3325587057976073
25,0.125,0.129150251538463,0.06449172461759668,0.19380877845932928
25,0.125,0.2188288940966391,0.1465569278329224,0.29110086036035576
25,0.125,0.051481935727951525,-0.009582716453260004,0.11254658790916304
25,0.125,0.2831762062047085,0.20922371903948897,0.35712869336992803
25,0.125,0.30803274276632947,0.23271704767522494,0.383348437857434
25,0.125,0.21566241009299003,0.14212920522844125,0.2891956149575388
25,0.125,0.3880155681689875,0.30072758792139254,0.4753035484165825
25,0.125,0.16478088768363897,0.09681485363539716,0.23274692173188077
