sample_size,true_param,estimated_param,ci_lower,ci_upper
50,0.6,0.5769406286064598,0.25369957463037196,0.9211651911668916
50,0.6,0.5519513823972352,0.19742329308442694,0.8738760987813426
50,0.6,0.7576264542774181,0.3916962007289116,1.1138676294237173
50,0.6,0.520699787826847,0.21082802158699857,0.8284896921688196
50,0.6,0.5561070962745923,0.28136589773565096,0.8868766410735354
50,0.6,0.3804822789957898,0.11142109219027058,0.6587022396765485
100,0.6,0.44299141382401114,0.23703433638710483,0.641268444622681
100,0.6,0.576358770289676,0.35925479042738345,0.801118001205014
100,0.6,0.6503209813626534,0.42803690601576627,0.8746906471386339
100,0.6,0.5125517672550991,0.28230419075833485,0.7525570207739282
100,0.6,0.6690670268998169,0.4441086023010519,0.8875850977638894
100,0.6,0.787715867203063,0.5687939195678559,1.050093426335509
100,0.6,0.7398632921837778,0.47453554122458214,0.9774725446610407
100,0.6,0.5144191961970911,0.3205527771105924,0.7140702161598748
100,0.6,0.668989292088195,0.41712443159457,0.901130276424008
100,0.6,0.6093549879857839,0.3652156140086579,0.8263292829069219
200,0.6,0.6872682511458863,0.5392967080636677,0.83844084915253
200,0.6,0.6438175271600699,0.47620188444463846,0.7964784612340056
200,0.6,0.7571575128478325,0.5911998651127488,0.9325711949483588
200,0.6,0.5988721454106669,0.4353829358021463,0.7436259563201991
200,0.6,0.5121780159421145,0.35502198545344366,0.6749958200322853
200,0.6,0.49504613423793065,0.32522285281383323,0.6382072308584004
200,0.6,0.5025569959882058,0.34128442340872944,0.6430552170953088
200,0.6,0.4630337466612776,0.30869036603622424,0.6141219949018012
200,0.6,0.5795763606549493,0.4014677875306332,0.7387835636729946
200,0.6,0.5675196246760306,0.3932982176544789,0.7293695192626547
400,0.6,0.5024699308229721,0.4006152726145106,0.6309352952192009
400,0.6,0.6580703212482535,0.5363727802477,0.7694791460496616
400,0.6,0.5914087403500489,0.48510333205716966,0.6942048718531741
400,0.6,0.6441220971797222,0.5294172952495325,0.7456782743422316
400,0.6,0.5911998018393865,0.47791479562509903,0.7079731675103248
400,0.6,0.6324684006272498,0.5260439912961017,0.742816326505252
400,0.6,0.516723953968238,0.40730190087404256,0.6292031131571444
400,0.6,0.5810364626274995,0.4730198646123344,0.6970576655565129
400,0.6,0.5687438530541032,0.4654692556451922,0.6789180055561478
400,0.6,0.7123075441247699,0.5963076314548027,0.8374568213914154
25,1.0,1.234852121150816,0.5267636842366027,1.8468311293274704
25,1.0,0.896911349319458,0.31986993631197896,1.4111306337022416
25,1.0,1.3524644010181919,0.5689456681810843,2.007455762234876
25,1.0,0.8727177250224393,0.19389416745209445,1.454905305937958
25,1.0,1.306705758300696,0.6128181937951228,1.9348529488718254
25,1.0,0.5417237639619835,0.10383663509816403,0.9793560663285311
25,1.0,0.7906700738553,0.3138196375946961,1.351229721257511
25,1.0,1.038174868081971,0.4567043761033651,1.6321382937868734
25,1.0,1.4984474177430698,0.8025927347821683,2.221458460585667
25,1.0,1.145569876198231,0.4693143094205,1.8796053688715006
